tsi,ts,date,time,lat,lon,speed,heading,hr,distance_orig,calories,nearest_land_lat,nearest_land_lon,avg_speed_15s,avg_speed_1k,dwid,distance,distance_to_land
1759017361.0005028,2025-09-27 23:56:01.000503-10,2025-09-27,13:56:01,20.9357939978,-156.3959820359,21.40236,301.01,121,,254.337,20.915464521257693,-156.39252247405088,22.735415999999997,22.68933509433961,01998e98-a600-79ee-82e5-b6e98bafa701,7036.204583683068,2288.9131161007613
1759017362.0005085,2025-09-27 23:56:02.000508-10,2025-09-27,13:56:02,20.9358182137,-156.3960332653,20.465999999999998,291.77,121,,255.063,20.915464521257693,-156.39252247405088,22.723536,22.693306415094327,01998e98-a600-79ee-82e5-b6e98bafa701,7042.167550265229,2292.4127546513905
1759017363.0005121,2025-09-27 23:56:03.000512-10,2025-09-27,13:56:03,20.9358361382,-156.3960860519,20.465999999999998,268.99,121,,255.063,20.915464521257693,-156.39252247405088,22.607423999999998,22.7228969620253,01998e98-a600-79ee-82e5-b6e98bafa701,7048.000722773417,2295.258195525922
1759017364.000516,2025-09-27 23:56:04.000516-10,2025-09-27,13:56:04,20.9358319269,-156.3961473003,22.31352,272.67,121,,255.063,20.915464521257693,-156.39252247405088,22.502975999999997,22.744187088607582,01998e98-a600-79ee-82e5-b6e98bafa701,7054.378825616131,2295.8306221545054
1759017365.0005171,2025-09-27 23:56:05.000517-10,2025-09-27,13:56:05,20.9358457407,-156.3962013942,22.31352,286.56,121,,255.063,20.915464521257693,-156.39252247405088,22.474343999999995,22.767675949367074,01998e98-a600-79ee-82e5-b6e98bafa701,7060.202895485757,2298.273239100409
1759017366.0005212,2025-09-27 23:56:06.000521-10,2025-09-27,13:56:06,20.9358623463,-156.3962505433,21.077280000000002,299.55,122,,255.063,20.915464521257693,-156.39252247405088,22.29732,22.778045316455685,01998e98-a600-79ee-82e5-b6e98bafa701,7065.630931731479,2300.9475228551128
1759017367.0005214,2025-09-27 23:56:07.000522-10,2025-09-27,13:56:07,20.9358906951,-156.3962964918,20.89656,307.62,122,,255.417,20.915464521257693,-156.39252247405088,22.045872,22.782718481012648,01998e98-a600-79ee-82e5-b6e98bafa701,7071.350020492821,2304.8616561110684
1759017368.0005236,2025-09-27 23:56:08.000524-10,2025-09-27,13:56:08,20.9359212405,-156.3963339453,18.04644,307.35,122,,255.417,20.915464521257693,-156.39252247405088,21.601200000000006,22.771727088607584,01998e98-a600-79ee-82e5-b6e98bafa701,7076.513921913097,2308.8725022837457
1759017369.0005264,2025-09-27 23:56:09.000526-10,2025-09-27,13:56:09,20.9359489873,-156.3963753893,18.510839999999998,289.7,122,,255.417,20.915464521257693,-156.39252247405088,21.190704000000004,22.761300759493658,01998e98-a600-79ee-82e5-b6e98bafa701,7081.809632856664,2312.6530966166683
1759017370.0005298,2025-09-27 23:56:10.00053-10,2025-09-27,13:56:10,20.9359582505,-156.396427476,18.510839999999998,271.23,122,,255.417,20.915464521257693,-156.39252247405088,20.887944,22.748279240506317,01998e98-a600-79ee-82e5-b6e98bafa701,7087.316230567969,2314.609382684396
